serum,virus,replicate,concentration,fraction infectivity
mRNA,NiV,1,0.028,0.002314405
mRNA,NiV,1,0.009259,-0.004042439
mRNA,NiV,1,0.003086,-0.004310819
mRNA,NiV,1,0.001029,-0.004630604
mRNA,NiV,1,0.000343,-0.0048948
mRNA,NiV,1,0.000114,0.017352062
mRNA,NiV,1,0.000038,0.174775852
mRNA,NiV,2,0.028,-0.001672959
mRNA,NiV,2,0.009259,-0.003985204
mRNA,NiV,2,0.003086,-0.002541837
mRNA,NiV,2,0.001029,-0.001789796
mRNA,NiV,2,0.000343,-0.003963265
mRNA,NiV,2,0.000114,5.40816E-05
mRNA,NiV,2,0.000038,0.096887755
NiV-sG,NiV,1,0.028,-0.000892457
NiV-sG,NiV,1,0.009259,-0.000562659
NiV-sG,NiV,1,0.003086,-0.000429574
NiV-sG,NiV,1,0.001029,-0.001248096
NiV-sG,NiV,1,0.000343,-0.001142196
NiV-sG,NiV,1,0.000114,0.037759522
NiV-sG,NiV,1,0.000038,0.386557132
NiV-sG,NiV,2,0.028,-0.000347765
NiV-sG,NiV,2,0.009259,-0.001618366
NiV-sG,NiV,2,0.003086,-0.001206529
NiV-sG,NiV,2,0.001029,-0.001412709
NiV-sG,NiV,2,0.000343,-0.000549756
NiV-sG,NiV,2,0.000114,0.059811453
NiV-sG,NiV,2,0.000038,0.453561453
ChAdOx1,NiV,1,0.028,-0.000843993
ChAdOx1,NiV,1,0.009259,-0.000447211
ChAdOx1,NiV,1,0.003086,-0.000552917
ChAdOx1,NiV,1,0.001029,-0.000818971
ChAdOx1,NiV,1,0.000343,0.031418358
ChAdOx1,NiV,1,0.000114,0.27741606
ChAdOx1,NiV,1,0.000038,0.732924805
ChAdOx1,NiV,2,0.028,-0.000839473
ChAdOx1,NiV,2,0.009259,-0.001278751
ChAdOx1,NiV,2,0.003086,-0.000868609
ChAdOx1,NiV,2,0.001029,-0.000487043
ChAdOx1,NiV,2,0.000343,0.007526264
ChAdOx1,NiV,2,0.000114,0.17929682
ChAdOx1,NiV,2,0.000038,0.650231125
HeV-sG,NiV,1,0.028,-0.001358285
HeV-sG,NiV,1,0.009259,-0.001285189
HeV-sG,NiV,1,0.003086,-0.001448816
HeV-sG,NiV,1,0.001029,0.001207454
HeV-sG,NiV,1,0.000343,0.010940499
HeV-sG,NiV,1,0.000114,0.113547665
HeV-sG,NiV,1,0.000038,0.632917466
HeV-sG,NiV,2,0.028,-0.001955417
HeV-sG,NiV,2,0.009259,-0.001540748
HeV-sG,NiV,2,0.003086,-0.001672819
HeV-sG,NiV,2,0.001029,-0.001879434
HeV-sG,NiV,2,0.000343,0.006294343
HeV-sG,NiV,2,0.000114,0.087823586
HeV-sG,NiV,2,0.000038,0.603547459
