serum,virus,replicate,concentration,fraction infectivity
HeV-sG_p36,NiV,1,0.05556,0.00001
HeV-sG_p36,NiV,1,0.01852,0
HeV-sG_p36,NiV,1,0.00617,0.00002
HeV-sG_p36,NiV,1,0.00206,0.00088
HeV-sG_p36,NiV,1,0.00069,0.03881
HeV-sG_p36,NiV,1,0.00023,0.27937
HeV-sG_p36,NiV,1,0.00008,0.63616
HeV-sG_p36,NiV,1,0.00003,0.95169
HeV-sG_p36,NiV,1,0.00001,0.97449
HeV-sG_p36,NiV,2,0.05556,0
HeV-sG_p36,NiV,2,0.01852,0
HeV-sG_p36,NiV,2,0.00617,0.0001
HeV-sG_p36,NiV,2,0.00206,0.00143
HeV-sG_p36,NiV,2,0.00069,0.04375
HeV-sG_p36,NiV,2,0.00023,0.32307
HeV-sG_p36,NiV,2,0.00008,0.65384
HeV-sG_p36,NiV,2,0.00003,0.91
HeV-sG_p36,NiV,2,0.00001,0.92644
HeV-sG_p38,NiV,1,0.05556,0
HeV-sG_p38,NiV,1,0.01852,0.00001
HeV-sG_p38,NiV,1,0.00617,0
HeV-sG_p38,NiV,1,0.00206,0.00062
HeV-sG_p38,NiV,1,0.00069,0.00456
HeV-sG_p38,NiV,1,0.00023,0.07557
HeV-sG_p38,NiV,1,0.00008,0.38449
HeV-sG_p38,NiV,1,0.00003,0.7953
HeV-sG_p38,NiV,1,0.00001,0.92475
HeV-sG_p38,NiV,2,0.05556,0
HeV-sG_p38,NiV,2,0.01852,0
HeV-sG_p38,NiV,2,0.00617,-0.00001
HeV-sG_p38,NiV,2,0.00206,0.00007
HeV-sG_p38,NiV,2,0.00069,0.00304
HeV-sG_p38,NiV,2,0.00023,0.07056
HeV-sG_p38,NiV,2,0.00008,0.43947
HeV-sG_p38,NiV,2,0.00003,0.72755
HeV-sG_p38,NiV,2,0.00001,0.90636
HeV-sG_p44,NiV,1,0.05556,-0.00001
HeV-sG_p44,NiV,1,0.01852,-0.00001
HeV-sG_p44,NiV,1,0.00617,0
HeV-sG_p44,NiV,1,0.00206,0.0001
HeV-sG_p44,NiV,1,0.00069,0.00461
HeV-sG_p44,NiV,1,0.00023,0.06838
HeV-sG_p44,NiV,1,0.00008,0.40298
HeV-sG_p44,NiV,1,0.00003,0.72326
HeV-sG_p44,NiV,1,0.00001,0.93064
HeV-sG_p44,NiV,2,0.05556,-0.00001
HeV-sG_p44,NiV,2,0.01852,-0.00001
HeV-sG_p44,NiV,2,0.00617,-0.00001
HeV-sG_p44,NiV,2,0.00206,0.00008
HeV-sG_p44,NiV,2,0.00069,0.0034
HeV-sG_p44,NiV,2,0.00023,0.05126
HeV-sG_p44,NiV,2,0.00008,0.32544
HeV-sG_p44,NiV,2,0.00003,0.6517
HeV-sG_p44,NiV,2,0.00001,0.88886
mRNA_p70,NiV,1,0.05556,0
mRNA_p70,NiV,1,0.01852,0
mRNA_p70,NiV,1,0.00617,0
mRNA_p70,NiV,1,0.00206,0
mRNA_p70,NiV,1,0.00069,0
mRNA_p70,NiV,1,0.00023,0
mRNA_p70,NiV,1,0.00008,0.03
mRNA_p70,NiV,1,0.00003,0.26
mRNA_p70,NiV,1,0.00001,0.63
mRNA_p70,NiV,2,0.05556,0
mRNA_p70,NiV,2,0.01852,0
mRNA_p70,NiV,2,0.00617,0
mRNA_p70,NiV,2,0.00206,0
mRNA_p70,NiV,2,0.00069,0
mRNA_p70,NiV,2,0.00023,0
mRNA_p70,NiV,2,0.00008,0.05
mRNA_p70,NiV,2,0.00003,0.26
mRNA_p70,NiV,2,0.00001,0.48
mRNA_p71,NiV,1,0.05556,0
mRNA_p71,NiV,1,0.01852,0
mRNA_p71,NiV,1,0.00617,0
mRNA_p71,NiV,1,0.00206,0
mRNA_p71,NiV,1,0.00069,0
mRNA_p71,NiV,1,0.00023,0
mRNA_p71,NiV,1,0.00008,0.07
mRNA_p71,NiV,1,0.00003,0.37
mRNA_p71,NiV,1,0.00001,0.68
mRNA_p71,NiV,2,0.05556,0
mRNA_p71,NiV,2,0.01852,0
mRNA_p71,NiV,2,0.00617,0
mRNA_p71,NiV,2,0.00206,0
mRNA_p71,NiV,2,0.00069,0
mRNA_p71,NiV,2,0.00023,0.01
mRNA_p71,NiV,2,0.00008,0.12
mRNA_p71,NiV,2,0.00003,0.4
mRNA_p71,NiV,2,0.00001,0.71
mRNA_p72,NiV,1,0.05556,0
mRNA_p72,NiV,1,0.01852,0
mRNA_p72,NiV,1,0.00617,0
mRNA_p72,NiV,1,0.00206,0
mRNA_p72,NiV,1,0.00069,0
mRNA_p72,NiV,1,0.00023,0
mRNA_p72,NiV,1,0.00008,0
mRNA_p72,NiV,1,0.00003,0.07
mRNA_p72,NiV,1,0.00001,0.43
mRNA_p72,NiV,2,0.05556,0
mRNA_p72,NiV,2,0.01852,0
mRNA_p72,NiV,2,0.00617,0
mRNA_p72,NiV,2,0.00206,0
mRNA_p72,NiV,2,0.00069,0
mRNA_p72,NiV,2,0.00023,0
mRNA_p72,NiV,2,0.00008,0.01
mRNA_p72,NiV,2,0.00003,0.11
mRNA_p72,NiV,2,0.00001,0.45
