serum,virus,replicate,concentration,fraction infectivity
mRNA-74,NiV,1,0.05556,0.00004
mRNA-74,NiV,1,0.01852,0.00006
mRNA-74,NiV,1,0.00617,0.00008
mRNA-74,NiV,1,0.00206,0.00007
mRNA-74,NiV,1,0.00069,0.00009
mRNA-74,NiV,1,0.00023,0.00238
mRNA-74,NiV,1,0.00008,0.08104
mRNA-74,NiV,1,0.00003,0.48599
mRNA-74,NiV,1,0.00001,0.76933
mRNA-74,NiV,2,0.05556,0.00005
mRNA-74,NiV,2,0.01852,0.00005
mRNA-74,NiV,2,0.00617,0.00005
mRNA-74,NiV,2,0.00206,0.0001
mRNA-74,NiV,2,0.00069,0.00013
mRNA-74,NiV,2,0.00023,0.0004
mRNA-74,NiV,2,0.00008,0.04443
mRNA-74,NiV,2,0.00003,0.40527
mRNA-74,NiV,2,0.00001,0.765
mRNA-75,NiV,1,0.05556,0.00003
mRNA-75,NiV,1,0.01852,0.00004
mRNA-75,NiV,1,0.00617,0.00007
mRNA-75,NiV,1,0.00206,0.00008
mRNA-75,NiV,1,0.00069,0.00012
mRNA-75,NiV,1,0.00023,0.00084
mRNA-75,NiV,1,0.00008,0.06105
mRNA-75,NiV,1,0.00003,0.47084
mRNA-75,NiV,1,0.00001,0.75941
mRNA-75,NiV,2,0.05556,0.00005
mRNA-75,NiV,2,0.01852,0.00004
mRNA-75,NiV,2,0.00617,0.00004
mRNA-75,NiV,2,0.00206,0.00007
mRNA-75,NiV,2,0.00069,0.00011
mRNA-75,NiV,2,0.00023,0.00088
mRNA-75,NiV,2,0.00008,0.08406
mRNA-75,NiV,2,0.00003,0.4375
mRNA-75,NiV,2,0.00001,0.72517
NiVsG-61,NiV,1,0.05556,0.00006
NiVsG-61,NiV,1,0.01852,0.00005
NiVsG-61,NiV,1,0.00617,0.00006
NiVsG-61,NiV,1,0.00206,0.00008
NiVsG-61,NiV,1,0.00069,0.00012
NiVsG-61,NiV,1,0.00023,0.00195
NiVsG-61,NiV,1,0.00008,0.07603
NiVsG-61,NiV,1,0.00003,0.45662
NiVsG-61,NiV,1,0.00001,0.76158
NiVsG-61,NiV,2,0.05556,0.00005
NiVsG-61,NiV,2,0.01852,0.00005
NiVsG-61,NiV,2,0.00617,0.00004
NiVsG-61,NiV,2,0.00206,0.00006
NiVsG-61,NiV,2,0.00069,0.00008
NiVsG-61,NiV,2,0.00023,0.00053
NiVsG-61,NiV,2,0.00008,0.058
NiVsG-61,NiV,2,0.00003,0.39872
NiVsG-61,NiV,2,0.00001,0.73925
