serum,virus,replicate,concentration,fraction infectivity
HeVsG_p44-5min,NiV,1,0.05556,2.75454E-05
HeVsG_p44-5min,NiV,1,0.01852,2.69365E-05
HeVsG_p44-5min,NiV,1,0.00617,0.000337919
HeVsG_p44-5min,NiV,1,0.00206,0.017081971
HeVsG_p44-5min,NiV,1,0.00069,0.154357876
HeVsG_p44-5min,NiV,1,0.00023,0.397339046
HeVsG_p44-5min,NiV,1,0.00008,0.608073063
HeVsG_p44-5min,NiV,1,0.00003,0.664449205
HeVsG_p44-5min,NiV,1,0.00001,0.74371406
HeVsG_p44-5min,NiV,2,0.05556,1.89516E-05
HeVsG_p44-5min,NiV,2,0.01852,6.22125E-05
HeVsG_p44-5min,NiV,2,0.00617,0.000349994
HeVsG_p44-5min,NiV,2,0.00206,0.014030579
HeVsG_p44-5min,NiV,2,0.00069,0.147886419
HeVsG_p44-5min,NiV,2,0.00023,0.439933188
HeVsG_p44-5min,NiV,2,0.00008,0.604779648
HeVsG_p44-5min,NiV,2,0.00003,0.723499936
HeVsG_p44-5min,NiV,2,0.00001,0.802132854
HeVsG_p44-60min,NiV,1,0.05556,2.09E-05
HeVsG_p44-60min,NiV,1,0.01852,3.2535E-05
HeVsG_p44-60min,NiV,1,0.00617,6.59271E-05
HeVsG_p44-60min,NiV,1,0.00206,0.011196269
HeVsG_p44-60min,NiV,1,0.00069,0.14950208
HeVsG_p44-60min,NiV,1,0.00023,0.445985125
HeVsG_p44-60min,NiV,1,0.00008,0.608849111
HeVsG_p44-60min,NiV,1,0.00003,0.658010841
HeVsG_p44-60min,NiV,1,0.00001,0.769948317
HeVsG_p44-60min,NiV,2,0.05556,7.30324E-06
HeVsG_p44-60min,NiV,2,0.01852,2.88054E-05
HeVsG_p44-60min,NiV,2,0.00617,0.000332534
HeVsG_p44-60min,NiV,2,0.00206,0.009671061
HeVsG_p44-60min,NiV,2,0.00069,0.162738048
HeVsG_p44-60min,NiV,2,0.00023,0.454254894
HeVsG_p44-60min,NiV,2,0.00008,0.675722466
HeVsG_p44-60min,NiV,2,0.00003,0.779864163
HeVsG_p44-60min,NiV,2,0.00001,0.86363031
HeVsG_p44-120min,NiV,1,0.05556,1.7741E-05
HeVsG_p44-120min,NiV,1,0.01852,3.58953E-05
HeVsG_p44-120min,NiV,1,0.00617,5.72039E-05
HeVsG_p44-120min,NiV,1,0.00206,0.010190083
HeVsG_p44-120min,NiV,1,0.00069,0.139118457
HeVsG_p44-120min,NiV,1,0.00023,0.450688705
HeVsG_p44-120min,NiV,1,0.00008,0.63953168
HeVsG_p44-120min,NiV,1,0.00003,0.691046832
HeVsG_p44-120min,NiV,1,0.00001,0.842424242
HeVsG_p44-120min,NiV,2,0.05556,1.27706E-05
HeVsG_p44-120min,NiV,2,0.01852,1.68195E-05
HeVsG_p44-120min,NiV,2,0.00617,4.48052E-05
HeVsG_p44-120min,NiV,2,0.00206,0.009941431
HeVsG_p44-120min,NiV,2,0.00069,0.189457601
HeVsG_p44-120min,NiV,2,0.00023,0.496816909
HeVsG_p44-120min,NiV,2,0.00008,0.73605806
HeVsG_p44-120min,NiV,2,0.00003,0.840463458
HeVsG_p44-120min,NiV,2,0.00001,0.893175452
