serum,virus,replicate,concentration,fraction infectivity
bEFNB2_5min,NiV,1,10,1.29571E-05
bEFNB2_5min,NiV,1,3.3333,1.08409E-05
bEFNB2_5min,NiV,1,1.1111,1.64319E-05
bEFNB2_5min,NiV,1,0.3704,1.83598E-05
bEFNB2_5min,NiV,1,0.1235,3.08765E-05
bEFNB2_5min,NiV,1,0.0412,5.98547E-05
bEFNB2_5min,NiV,1,0.0137,0.002227495
bEFNB2_5min,NiV,1,0.0046,0.19694498
bEFNB2_5min,NiV,1,0.0015,0.549458698
bEFNB2_5min,NiV,2,10,1.68076E-05
bEFNB2_5min,NiV,2,3.3333,1.23449E-05
bEFNB2_5min,NiV,2,1.1111,1.1521E-05
bEFNB2_5min,NiV,2,0.3704,2.70677E-05
bEFNB2_5min,NiV,2,0.1235,4.89662E-05
bEFNB2_5min,NiV,2,0.0412,8.70771E-05
bEFNB2_5min,NiV,2,0.0137,0.001467888
bEFNB2_5min,NiV,2,0.0046,0.202850877
bEFNB2_5min,NiV,2,0.0015,0.622963659
bEFNB2_60min,NiV,1,10,1.60873E-05
bEFNB2_60min,NiV,1,3.3333,1.52112E-05
bEFNB2_60min,NiV,1,1.1111,1.45596E-05
bEFNB2_60min,NiV,1,0.3704,1.8675E-05
bEFNB2_60min,NiV,1,0.1235,4.36321E-05
bEFNB2_60min,NiV,1,0.0412,0.00010092
bEFNB2_60min,NiV,1,0.0137,0.000850039
bEFNB2_60min,NiV,1,0.0046,0.22416212
bEFNB2_60min,NiV,1,0.0015,0.614964926
bEFNB2_60min,NiV,2,10,1.20313E-05
bEFNB2_60min,NiV,2,3.3333,1.26071E-05
bEFNB2_60min,NiV,2,1.1111,9.39634E-06
bEFNB2_60min,NiV,2,0.3704,2.43172E-05
bEFNB2_60min,NiV,2,0.1235,2.81657E-05
bEFNB2_60min,NiV,2,0.0412,0.000104081
bEFNB2_60min,NiV,2,0.0137,0.000966791
bEFNB2_60min,NiV,2,0.0046,0.219273743
bEFNB2_60min,NiV,2,0.0015,0.707790192
bEFNB2_120min,NiV,1,10,1.76617E-05
bEFNB2_120min,NiV,1,3.3333,4.93727E-06
bEFNB2_120min,NiV,1,1.1111,1.00041E-05
bEFNB2_120min,NiV,1,0.3704,1.09996E-05
bEFNB2_120min,NiV,1,0.1235,2.93396E-05
bEFNB2_120min,NiV,1,0.0412,8.30691E-05
bEFNB2_120min,NiV,1,0.0137,0.00589687
bEFNB2_120min,NiV,1,0.0046,0.298083552
bEFNB2_120min,NiV,1,0.0015,0.688266924
bEFNB2_120min,NiV,2,10,1.14739E-05
bEFNB2_120min,NiV,2,3.3333,4.09097E-06
bEFNB2_120min,NiV,2,1.1111,7.09484E-06
bEFNB2_120min,NiV,2,0.3704,9.25437E-06
bEFNB2_120min,NiV,2,0.1235,2.89449E-05
bEFNB2_120min,NiV,2,0.0412,5.48219E-05
bEFNB2_120min,NiV,2,0.0137,0.00763372
bEFNB2_120min,NiV,2,0.0046,0.318127251
bEFNB2_120min,NiV,2,0.0015,0.864078965
