serum,virus,replicate,concentration,fraction infectivity
mRNA_p72_5min,NiV,1,0.05556,1.21721E-05
mRNA_p72_5min,NiV,1,0.01852,2.4306E-05
mRNA_p72_5min,NiV,1,0.00617,5.35045E-05
mRNA_p72_5min,NiV,1,0.00206,0.001193963
mRNA_p72_5min,NiV,1,0.00069,0.011828591
mRNA_p72_5min,NiV,1,0.00023,0.107980569
mRNA_p72_5min,NiV,1,0.00008,0.275433727
mRNA_p72_5min,NiV,1,0.00003,0.418806384
mRNA_p72_5min,NiV,1,0.00001,0.704718945
mRNA_p72_5min,NiV,2,0.05556,1.81396E-05
mRNA_p72_5min,NiV,2,0.01852,3.38587E-05
mRNA_p72_5min,NiV,2,0.00617,0.000110995
mRNA_p72_5min,NiV,2,0.00206,0.001220736
mRNA_p72_5min,NiV,2,0.00069,0.014494147
mRNA_p72_5min,NiV,2,0.00023,0.142182274
mRNA_p72_5min,NiV,2,0.00008,0.358361204
mRNA_p72_5min,NiV,2,0.00003,0.579849498
mRNA_p72_5min,NiV,2,0.00001,0.83361204
mRNA_p72_60min,NiV,1,0.05556,1.47766E-05
mRNA_p72_60min,NiV,1,0.01852,2.64885E-05
mRNA_p72_60min,NiV,1,0.00617,6.03758E-05
mRNA_p72_60min,NiV,1,0.00206,0.00022618
mRNA_p72_60min,NiV,1,0.00069,0.005331942
mRNA_p72_60min,NiV,1,0.00023,0.117536534
mRNA_p72_60min,NiV,1,0.00008,0.365720251
mRNA_p72_60min,NiV,1,0.00003,0.560751566
mRNA_p72_60min,NiV,1,0.00001,0.744050104
mRNA_p72_60min,NiV,2,0.05556,1.37181E-05
mRNA_p72_60min,NiV,2,0.01852,2.8971E-05
mRNA_p72_60min,NiV,2,0.00617,5.0454E-05
mRNA_p72_60min,NiV,2,0.00206,0.000256982
mRNA_p72_60min,NiV,2,0.00069,0.004924341
mRNA_p72_60min,NiV,2,0.00023,0.121876351
mRNA_p72_60min,NiV,2,0.00008,0.392044963
mRNA_p72_60min,NiV,2,0.00003,0.595330739
mRNA_p72_60min,NiV,2,0.00001,0.722870731
mRNA_p72_120min,NiV,1,0.05556,1.0239E-05
mRNA_p72_120min,NiV,1,0.01852,2.41301E-05
mRNA_p72_120min,NiV,1,0.00617,3.9185E-05
mRNA_p72_120min,NiV,1,0.00206,0.000187069
mRNA_p72_120min,NiV,1,0.00069,0.005321317
mRNA_p72_120min,NiV,1,0.00023,0.120415361
mRNA_p72_120min,NiV,1,0.00008,0.344905956
mRNA_p72_120min,NiV,1,0.00003,0.550548589
mRNA_p72_120min,NiV,1,0.00001,0.75
mRNA_p72_120min,NiV,2,0.05556,5.60447E-06
mRNA_p72_120min,NiV,2,0.01852,1.72089E-05
mRNA_p72_120min,NiV,2,0.00617,1.69442E-05
mRNA_p72_120min,NiV,2,0.00206,0.000123987
mRNA_p72_120min,NiV,2,0.00069,0.007511962
mRNA_p72_120min,NiV,2,0.00023,0.146889952
mRNA_p72_120min,NiV,2,0.00008,0.357575758
mRNA_p72_120min,NiV,2,0.00003,0.555342903
mRNA_p72_120min,NiV,2,0.00001,0.727272727
