serum,virus,replicate,concentration,fraction infectivity
NiV-sG_Pig42,NiV,1,0.1,0
NiV-sG_Pig42,NiV,1,0.03333,0
NiV-sG_Pig42,NiV,1,0.01111,0
NiV-sG_Pig42,NiV,1,0.0037,0
NiV-sG_Pig42,NiV,1,0.00123,0
NiV-sG_Pig42,NiV,1,0.00041,0.0067
NiV-sG_Pig42,NiV,1,0.00014,0.1614
NiV-sG_Pig42,NiV,1,0.00005,0.5077
NiV-sG_Pig42,NiV,2,0.1,0
NiV-sG_Pig42,NiV,2,0.03333,0
NiV-sG_Pig42,NiV,2,0.01111,0
NiV-sG_Pig42,NiV,2,0.0037,0
NiV-sG_Pig42,NiV,2,0.00123,0
NiV-sG_Pig42,NiV,2,0.00041,0.0112
NiV-sG_Pig42,NiV,2,0.00014,0.2064
NiV-sG_Pig42,NiV,2,0.00005,0.5323
NiV-sG_Pig47,NiV,1,0.1,0
NiV-sG_Pig47,NiV,1,0.03333,0
NiV-sG_Pig47,NiV,1,0.01111,0
NiV-sG_Pig47,NiV,1,0.0037,0
NiV-sG_Pig47,NiV,1,0.00123,0.00364
NiV-sG_Pig47,NiV,1,0.00041,0.1394
NiV-sG_Pig47,NiV,1,0.00014,0.46491
NiV-sG_Pig47,NiV,1,0.00005,0.70998
NiV-sG_Pig47,NiV,2,0.1,0
NiV-sG_Pig47,NiV,2,0.03333,0
NiV-sG_Pig47,NiV,2,0.01111,0
NiV-sG_Pig47,NiV,2,0.0037,0
NiV-sG_Pig47,NiV,2,0.00123,0.00431
NiV-sG_Pig47,NiV,2,0.00041,0.15717
NiV-sG_Pig47,NiV,2,0.00014,0.45076
NiV-sG_Pig47,NiV,2,0.00005,0.64973
NiV-sG_Pig53,NiV,1,0.1,0
NiV-sG_Pig53,NiV,1,0.03333,0
NiV-sG_Pig53,NiV,1,0.01111,0
NiV-sG_Pig53,NiV,1,0.0037,0.0011
NiV-sG_Pig53,NiV,1,0.00123,0.0564
NiV-sG_Pig53,NiV,1,0.00041,0.2861
NiV-sG_Pig53,NiV,1,0.00014,0.6655
NiV-sG_Pig53,NiV,1,0.00005,0.7817
NiV-sG_Pig53,NiV,2,0.1,0
NiV-sG_Pig53,NiV,2,0.03333,0
NiV-sG_Pig53,NiV,2,0.01111,0
NiV-sG_Pig53,NiV,2,0.0037,0.0004
NiV-sG_Pig53,NiV,2,0.00123,0.0722
NiV-sG_Pig53,NiV,2,0.00041,0.3525
NiV-sG_Pig53,NiV,2,0.00014,0.6911
NiV-sG_Pig53,NiV,2,0.00005,0.9209
NiV-sG_Pig58,NiV,1,0.1,0
NiV-sG_Pig58,NiV,1,0.03333,0
NiV-sG_Pig58,NiV,1,0.01111,0
NiV-sG_Pig58,NiV,1,0.0037,0
NiV-sG_Pig58,NiV,1,0.00123,0.0001
NiV-sG_Pig58,NiV,1,0.00041,0.0193
NiV-sG_Pig58,NiV,1,0.00014,0.1932
NiV-sG_Pig58,NiV,1,0.00005,0.4129
NiV-sG_Pig58,NiV,2,0.1,0
NiV-sG_Pig58,NiV,2,0.03333,0
NiV-sG_Pig58,NiV,2,0.01111,0
NiV-sG_Pig58,NiV,2,0.0037,0
NiV-sG_Pig58,NiV,2,0.00123,0.0011
NiV-sG_Pig58,NiV,2,0.00041,0.0702
NiV-sG_Pig58,NiV,2,0.00014,0.3216
NiV-sG_Pig58,NiV,2,0.00005,0.6365
